time,sand_heads_actual,sand_heads_predicted,halibut_bank_actual,halibut_bank_predicted,sentry_shoal_actual,sentry_shoal_predicted
2012-08-16 18:00:00,292.57242,285.21753,292.1715,285.2633,291.5131,285.102
2012-08-16 21:00:00,292.78177,285.26318,292.68396,285.37778,291.19373,285.1643
2012-08-17 00:00:00,292.7582,285.3547,292.6357,285.38522,291.15894,285.16098
2012-08-17 03:00:00,292.5911,285.94144,293.0434,285.19937,292.6404,284.69427
2012-08-17 06:00:00,292.5588,286.1929,293.32382,285.47437,292.51083,284.0044
2012-08-17 09:00:00,292.65704,286.13776,293.12067,285.58682,291.53952,282.9269
2012-08-17 12:00:00,292.70584,285.59293,292.3862,285.5692,291.12854,283.0051
2012-08-17 15:00:00,291.8592,285.07376,292.3519,284.97806,291.0584,284.62033
2012-08-17 18:00:00,292.36697,285.12106,292.48837,285.40634,291.11777,285.1625
2012-08-17 21:00:00,292.541,285.196,292.1527,285.59155,291.46362,285.16782
2012-08-18 00:00:00,292.00278,285.2348,292.2638,285.67993,291.56717,285.11926
2012-08-18 03:00:00,292.20996,285.36118,292.48795,285.7738,291.55304,284.82474
2012-08-18 06:00:00,292.2844,285.74365,292.52267,285.8279,291.79886,284.438
2012-08-18 09:00:00,292.51828,286.53043,292.2509,285.77942,291.5284,283.2923
2012-08-18 12:00:00,292.11026,286.22968,292.2627,285.36816,291.5035,283.11603
2012-08-18 15:00:00,292.03018,285.23343,292.22998,285.1465,291.41025,284.65707
2012-08-18 18:00:00,292.1161,285.22107,292.47385,285.17862,292.0084,285.1079
2012-08-18 21:00:00,292.09995,286.09427,292.8632,285.03345,291.998,285.02917
2012-08-19 00:00:00,292.74646,285.74356,292.7858,284.988,292.31857,284.67633
2012-08-19 03:00:00,292.45065,285.71057,292.65857,285.39313,292.71085,284.51352
2012-08-19 06:00:00,292.0691,285.51273,292.45456,285.45993,291.74036,284.33102
2012-08-19 09:00:00,291.52945,285.47107,292.07272,285.08722,291.392,283.13934
